district_type,district_num,title,full_name,party,room_num,phone,email,website,first,middle,last,author_id,leg_id
House,114,Representative,John Bryant,D,4S.3,(512) 463-0576,john.bryant@house.texas.gov,https://house.texas.gov/members/114,John,,Bryant,Bryant,89
House,54,Representative,Brad Buckley,R,E2.510,(512) 463-0684,brad.buckley@house.texas.gov,https://house.texas.gov/members/54,Brad,,Buckley,Buckley,89
House,136,Representative,John H. Bucy,D,GN.9,(512) 463-0696,john.bucy@house.texas.gov,https://house.texas.gov/members/136,John,H. ,Bucy,Bucy,89
House,63,Representative,Benjamin Bumgarner,R,E1.310,(512) 463-0688,benjamin.bumgarner@house.texas.gov,https://house.texas.gov/members/63,Benjamin,,Bumgarner,Bumgarner,89
House,83,Representative,Dustin Burrows,R,2W.13,(512) 463-0542,dustin.burrows@house.texas.gov,https://house.texas.gov/members/83,Dustin,,Burrows,Burrows,89
House,112,Representative,Angie Chen Button,R,GW.7,(512) 463-0486,angie.button@house.texas.gov,https://house.texas.gov/members/112,Angie,Chen ,Button,Button,89
House,128,Representative,Briscoe Cain,R,E1.320,(512) 463-0733,briscoe.cain@house.texas.gov,https://house.texas.gov/members/128,Briscoe,,Cain,Cain,89
Senate,25,Senator,Donna Campbell,R,3E.18,(512) 463-0125,donna.campbell@senate.texas.gov,https://senate.texas.gov/member.php?d=25,Donna,,Campbell,Campbell,89
House,119,Representative,"Elizabeth ""Liz"" Campos",D,E2.422,(512) 463-0452,elizabeth.campos@house.texas.gov,https://house.texas.gov/members/119,Elizabeth," ""Liz"" ",Campos,Campos,89
House,40,Representative,Terry Canales,D,4S.4,(512) 463-0426,terry.canales@house.texas.gov,https://house.texas.gov/members/40,Terry,,Canales,Canales,89
House,98,Representative,Giovanni Capriglione,R,E1.506,(512) 463-0690,giovanni.capriglione@house.texas.gov,https://house.texas.gov/members/98,Giovanni,,Capriglione,Capriglione,89
House,46,Representative,Sheryl Cole,D,E2.910,(512) 463-0506,sheryl.cole@house.texas.gov,https://house.texas.gov/members/46,Sheryl,,Cole,Cole,89
House,95,Representative,Nicole Collier,D,3S.2,(512) 463-0716,nicole.collier@house.texas.gov,https://house.texas.gov/members/95,Nicole,,Collier,Collier,89
House,96,Representative,David Cook,R,E1.402,(512) 463-0374,david.cook@house.texas.gov,https://house.texas.gov/members/96,David,,Cook,Cook,89
Senate,15,Senator,Molly Cook,D,1E.814,(512) 463-0115,molly.cook@senate.texas.gov,https://senate.texas.gov/member.php?d=15,Molly,,Cook,Cook,89
House,117,Representative,Philip Cortez,D,4N.3,(512) 463-0269,philip.cortez@house.texas.gov,https://house.texas.gov/members/117,Philip,,Cortez,Cortez,89
House,82,Representative,Tom Craddick,R,1W.9,(512) 463-0500,tom.craddick@house.texas.gov,https://house.texas.gov/members/82,Tom,,Craddick,Craddick,89
Senate,4,Senator,Brandon Creighton,R,E1.606,(512) 463-0104,brandon.creighton@senate.texas.gov,https://senate.texas.gov/member.php?d=4,Brandon,,Creighton,Creighton,89
House,127,Representative,Charles Cunningham,R,E2.410,(512) 463-0520,charles.cunningham@house.texas.gov,https://house.texas.gov/members/127,Charles,,Cunningham,Cunningham,89
House,56,Representative,Pat Curry,R,E1.512,(512) 463-0135,pat.curry@house.texas.gov,https://house.texas.gov/members/56,Pat,,Curry,Curry,89
House,72,Representative,Drew Darby,R,GW.12,(512) 463-0331,drew.darby@house.texas.gov,https://house.texas.gov/members/72,Drew,,Darby,Darby,89
House,52,Representative,Caroline Harris Davila,R,E1.324,(512) 463-0670,caroline.davila@house.texas.gov,https://house.texas.gov/members/52,Caroline,Harris,Davila,Harris Davila,89
House,109,Representative,Aicha Davis,D,E2.302,(512) 463-0953,aicha.davis@house.texas.gov,https://house.texas.gov/members/109,Aicha,,Davis,"Davis, Aicha",89
House,111,Representative,Yvonne Davis,D,4N.9,(512) 463-0598,yvonne.davis@house.texas.gov,https://house.texas.gov/members/111,Yvonne,,Davis,"Davis, Yvonne",89
House,133,Representative,Mano DeAyala,R,E1.318,(512) 463-0514,mano.deayala@house.texas.gov,https://house.texas.gov/members/133,Mano,,DeAyala,DeAyala,89
House,7,Representative,Jay Dean,R,GN.11,(512) 463-0750,jay.dean@house.texas.gov,https://house.texas.gov/members/7,Jay,,Dean,Dean,89
House,122,Representative,Mark Dorazio,R,E1.406,(512) 463-0646,mark.dorazio@house.texas.gov,https://house.texas.gov/members/122,Mark,,Dorazio,Dorazio,89
House,142,Representative,Harold V. Dutton,D,3N.5,(512) 463-0510,harold.dutton@house.texas.gov,https://house.texas.gov/members/142,Harold,V. ,Dutton,Dutton,89
House,14,Representative,Paul Dyson,R,E2.702,(512) 463-0698,paul.dyson@house.texas.gov,https://house.texas.gov/members/14,Paul,,Dyson,Dyson,89
Senate,14,Senator,Sarah Eckhardt,D,E1.804,(512) 463-0114,sarah.eckhardt@senate.texas.gov,https://senate.texas.gov/member.php?d=14,Sarah,,Eckhardt,Eckhardt,89
House,87,Representative,Caroline Fairly,R,E2.816,(512) 463-0470,caroline.fairly@house.texas.gov,https://house.texas.gov/members/87,Caroline,,Fairly,Fairly,89
House,51,Representative,Lulu Flores,D,E2.310,(512) 463-0674,lulu.flores@house.texas.gov,https://house.texas.gov/members/51,Lulu,,Flores,Flores,89
Senate,24,Senator,Pete Flores,R,E1.808,(512) 463-0124,pete.flores@senate.texas.gov,https://senate.texas.gov/member.php?d=24,Pete,,Flores,Flores,89
House,69,Representative,James Frank,R,1N.9,(512) 463-0534,james.frank@house.texas.gov,https://house.texas.gov/members/69,James,,Frank,Frank,89
House,38,Representative,Erin Elizabeth Gámez,D,E1.510,(512) 463-0606,erin.gamez@house.texas.gov,https://house.texas.gov/members/38,Erin,Elizabeth ,Gamez,Gámez,89
House,124,Representative,Josey Garcia,D,E2.904,(512) 463-0634,josey.garcia@house.texas.gov,https://house.texas.gov/members/124,Josey,,Garcia,"Garcia, Josey",89
House,107,Representative,Linda Garcia,D,E2.716,(512) 463-0244,linda.garcia@house.texas.gov,https://house.texas.gov/members/107,Linda,,Garcia,"Garcia, Linda",89
House,115,Representative,Cassandra Garcia Hernandez,D,E2.712,(512) 463-0468,cassandra.garciahernandez@house.texas.gov,https://house.texas.gov/members/115,Cassandra,,Garcia Hernandez,"Garcia Hernandez, Cassandra",89
House,28,Representative,Gary Gates,R,E2.322,(512) 463-0657,gary.gates@house.texas.gov,https://house.texas.gov/members/28,Gary,,Gates,Gates,89
House,17,Representative,Stan Gerdes,R,E2.604,(512) 463-0682,stan.gerdes@house.texas.gov,https://house.texas.gov/members/17,Stan,,Gerdes,Gerdes,89
House,99,Representative,Charlie L. Geren,R,GW.15,(512) 463-0610,charlie.geren@house.texas.gov,https://house.texas.gov/members/99,Charlie,L. ,Geren,Geren,89
House,120,Representative,Barbara Gervin-Hawkins,D,GN.12,(512) 463-0708,barbara.gervin-hawkins@house.texas.gov,https://house.texas.gov/members/120,Barbara,,Gervin-Hawkins,Gervin-Hawkins,89
House,104,Representative,Jessica González,D,E2.808,(512) 463-0408,jessica.gonzález@house.texas.gov,https://house.texas.gov/members/104,Jessica,,González,"González, Jessica",89
House,75,Representative,Mary E. González,D,E1.504,(512) 463-0613,mary.gonzález@house.texas.gov,https://house.texas.gov/members/75,Mary,E. ,González,"González, Mary",89
House,47,Representative,Vikki Goodwin,D,E2.318,(512) 463-0652,vikki.goodwin@house.texas.gov,https://house.texas.gov/members/47,Vikki,,Goodwin,Goodwin,89
House,41,Representative,Bobby Guerra,D,GN.7,(512) 463-0578,bobby.guerra@house.texas.gov,https://house.texas.gov/members/41,Bobby,,Guerra,Guerra,89
House,31,Representative,Ryan Guillen,R,3N.6,(512) 463-0416,ryan.guillen@house.texas.gov,https://house.texas.gov/members/31,Ryan,,Guillen,Guillen,89
Senate,19,Senator,Roland Gutierrez,D,3S.3,(512) 463-0119,roland.gutierrez@senate.texas.gov,https://senate.texas.gov/member.php?d=19,Roland,,Gutierrez,Gutierrez,89
Senate,30,Senator,Brent Hagenbuch,R,GE.7,(512) 463-0130,brent.hagenbuch@senate.texas.gov,https://senate.texas.gov/member.php?d=30,Brent,,Hagenbuch,Hagenbuch,89
Senate,2,Senator,Bob Hall,R,1E.15,(512) 463-0102,bob.hall@senate.texas.gov,https://senate.texas.gov/member.php?d=2,Bob,,Hall,Hall,89
Senate,9,Senator,Kelly G. Hancock,R,1E.12,(512) 463-0109,kelly.hancock@senate.texas.gov,https://senate.texas.gov/member.php?d=9,Kelly,G. ,Hancock,Hancock,89
House,126,Representative,Sam Harless,R,GW.6,(512) 463-0496,sam.harless@house.texas.gov,https://house.texas.gov/members/126,Sam,,Harless,Harless,89
House,8,Representative,Cody Harris,R,E2.504,(512) 463-0730,cody.harris@house.texas.gov,https://house.texas.gov/members/8,Cody,,Harris,Harris,89
House,10,Representative,Brian E. Harrison,R,E1.414,(512) 463-0516,brian.harrison@house.texas.gov,https://house.texas.gov/members/10,Brian,E. ,Harrison,Harrison,89
House,57,Representative,Richard Hayes,R,E1.424,(512) 463-0556,richard.hayes@house.texas.gov,https://house.texas.gov/members/57,Richard,,Hayes,Hayes,89
House,5,Representative,Cole Hefner,R,E2.610,(512) 463-0271,cole.hefner@house.texas.gov,https://house.texas.gov/members/5,Cole,,Hefner,Hefner,89
House,143,Representative,Ana Hernandez,D,1W.11,(512) 463-0614,ana.hernandez@house.texas.gov,https://house.texas.gov/members/143,Ana,,Hernandez,Hernandez,89
House,55,Representative,Hillary Hickland,R,E1.218,(512) 463-0630,hillary.hickland@house.texas.gov,https://house.texas.gov/members/55,Hillary,,Hickland,Hickland,89
Senate,27,Senator,Adam Hinojosa,R,E1.712,(512) 463-0127,adam.hinojosa@senate.texas.gov,https://senate.texas.gov/member.php?d=27,Adam,,Hinojosa,"Hinojosa, Adam",89
House,49,Representative,Gina Hinojosa,D,4S.2,(512) 463-0668,gina.hinojosa@house.texas.gov,https://house.texas.gov/members/49,Gina,,Hinojosa,Hinojosa,89
Senate,20,Senator,"Juan ""Chuy"" Hinojosa",D,3E.6,(512) 463-0120,juan.hinojosa@senate.texas.gov,https://senate.texas.gov/member.php?d=20,Juan," ""Chuy"" ",Hinojosa,"Hinojosa, Juan ""Chuy""",89
House,18,Representative,Janis Holt,R,E1.416,(512) 463-0570,janis.holt@house.texas.gov,https://house.texas.gov/members/18,Janis,,Holt,Holt,89
House,64,Representative,Andy Hopper,R,E2.316,(512) 463-0582,andy.hopper@house.texas.gov,https://house.texas.gov/members/64,Andy,,Hopper,Hopper,89
House,48,Representative,Donna Howard,D,GW.11,(512) 463-0631,donna.howard@house.texas.gov,https://house.texas.gov/members/48,Donna,,Howard,Howard,89
Senate,17,Senator,Joan Huffman,R,1E.14,(512) 463-0117,joan.huffman@senate.texas.gov,https://senate.texas.gov/member.php?d=17,Joan,,Huffman,Huffman,89
Senate,1,Senator,Bryan Hughes,R,3E.8,(512) 463-0101,bryan.hughes@senate.texas.gov,https://senate.texas.gov/member.php?d=1,Bryan,,Hughes,Hughes,89
House,138,Representative,Lacey Hull,R,E2.212,(512) 463-0727,lacey.hull@house.texas.gov,https://house.texas.gov/members/138,Lacey,,Hull,Hull,89
House,32,Representative,Todd Hunter,R,1W.6,(512) 463-0672,todd.hunter@house.texas.gov,https://house.texas.gov/members/32,Todd,,Hunter,Hunter,89
House,73,Representative,Carrie Isaac,R,E1.306,(512) 463-0325,carrie.isaac@house.texas.gov,https://house.texas.gov/members/73,Carrie,,Isaac,Isaac,89
House,134,Representative,Ann Johnson,D,E2.718,(512) 463-0389,ann.johnson@house.texas.gov,https://house.texas.gov/members/134,Ann,,Johnson,Johnson,89
Senate,16,Senator,Nathan Johnson,D,4E.2,(512) 463-0116,nathan.johnson@senate.texas.gov,https://senate.texas.gov/member.php?d=16,Nathan,,Johnson,Johnson,89
House,147,Representative,"Jolanda ""Jo"" Jones",D,E2.908,(512) 463-0524,jolanda.jones@house.texas.gov,https://house.texas.gov/members/147,Jolanda," ""Jo"" ",Jones,"Jones, Jolanda",89
House,100,Representative,Venton Jones,D,E2.208,(512) 463-0586,venton.jones@house.texas.gov,https://house.texas.gov/members/100,Venton,,Jones,"Jones, Venton",89
House,58,Representative,Helen Kerwin,R,E1.216,(512) 463-0538,helen.kerwin@house.texas.gov,https://house.texas.gov/members/58,Helen,,Kerwin,Kerwin,89
House,88,Representative,Ken King,R,GW.17,(512) 463-0736,ken.king@house.texas.gov,https://house.texas.gov/members/88,Ken,,King,King,89
Senate,10,Senator,Phil S. King,R,GE.5,(512) 463-0110,phil.king@senate.texas.gov,https://senate.texas.gov/member.php?d=10,Phil,S. ,King,King,89
House,85,Representative,Stan Kitzman,R,E2.606,(512) 463-0604,stan.kitzman@house.texas.gov,https://house.texas.gov/members/85,Stan,,Kitzman,Kitzman,89
Senate,18,Senator,Lois W. Kolkhorst,R,GE.4,(512) 463-0118,lois.kolkhorst@senate.texas.gov,https://senate.texas.gov/member.php?d=18,Lois,W. ,Kolkhorst,Kolkhorst,89
House,121,Representative,Marc LaHood,R,E2.804,(512) 463-0686,marc.lahood@house.texas.gov,https://house.texas.gov/members/121,Marc,,LaHood,LaHood,89
House,76,Representative,Suleman Lalani,D,E1.212,(512) 463-0596,suleman.lalani@house.texas.gov,https://house.texas.gov/members/76,Suleman,,Lalani,Lalani,89
House,71,Representative,Stan Lambert,R,E2.818,(512) 463-0718,stan.lambert@house.texas.gov,https://house.texas.gov/members/71,Stan,,Lambert,Lambert,89
House,81,Representative,Brooks Landgraf,R,E2.602,(512) 463-0546,brooks.landgraf@house.texas.gov,https://house.texas.gov/members/81,Brooks,,Landgraf,Landgraf,89
House,67,Representative,Jeff Leach,R,1W.3,(512) 463-0544,jeff.leach@house.texas.gov,https://house.texas.gov/members/67,Jeff,,Leach,Leach,89
House,23,Representative,Terri Leo-Wilson,R,E2.810,(512) 463-0502,terri.leo-wilson@house.texas.gov,https://house.texas.gov/members/23,Terri,,Leo-Wilson,Leo Wilson,89
House,65,Representative,Mitch Little,R,E2.420,(512) 463-0478,mitch.little@house.texas.gov,https://house.texas.gov/members/65,Mitch,,Little,Little,89
House,35,Representative,Oscar Longoria,D,4N.4,(512) 463-0645,oscar.longoria@house.texas.gov,https://house.texas.gov/members/35,Oscar,,Longoria,Longoria,89
House,37,Representative,Janie Lopez,R,E1.422,(512) 463-0640,janie.lopez@house.texas.gov,https://house.texas.gov/members/37,Janie,,Lopez,"Lopez, Janie",89
House,125,Representative,Ray Lopez,D,GW.4,(512) 463-0669,ray.lopez@house.texas.gov,https://house.texas.gov/members/125,Ray,,Lopez,"Lopez, Ray",89
House,30,Representative,AJ Louderback,R,E1.418,(512) 463-0456,aj.louderback@house.texas.gov,https://house.texas.gov/members/30,AJ,,Louderback,Louderback,89
House,91,Representative,David Lowe,R,E1.412,(512) 463-0599,david.lowe@house.texas.gov,https://house.texas.gov/members/91,David,,Lowe,Lowe,89
House,43,Representative,J.M. Lozano,R,1W.4,(512) 463-0463,jm.lozano@house.texas.gov,https://house.texas.gov/members/43,J.M.,,Lozano,Lozano,89
House,118,Representative,John Lujan,R,E2.822,(512) 463-0714,john.lujan@house.texas.gov,https://house.texas.gov/members/118,John,,Lujan,Lujan,89
House,62,Representative,Shelley Luther,R,E2.404,(512) 463-0297,shelley.luther@house.texas.gov,https://house.texas.gov/members/62,Shelley,,Luther,Luther,89
House,22,Representative,Christian Manuel,D,E2.412,(512) 463-0662,christian.manuel@house.texas.gov,https://house.texas.gov/members/22,Christian,,Manuel,Manuel,89
House,39,Representative,"Armando ""Mando"" Martinez",D,1N.10,(512) 463-0530,armando.martinez@house.texas.gov,https://house.texas.gov/members/39,Armando," ""Mando"" ",Martinez,Martinez,89
House,116,Representative,Trey Martinez Fischer,D,4S.5,(512) 463-0616,trey.martinez.fischer@house.texas.gov,https://house.texas.gov/members/116,Trey,,Martinez Fischer,Martinez Fischer,89
House,80,Representative,Don McLaughlin,R,E2.820,(512) 463-0194,don.mclaughlin@house.texas.gov,https://house.texas.gov/members/80,Don,,McLaughlin,McLaughlin,89
House,97,Representative,John McQueeney,R,E2.720,(512) 463-0608,john.mcqueeney@house.texas.gov,https://house.texas.gov/members/97,John,,McQueeney,McQueeney,89
Senate,26,Senator,José Menéndez,D,E1.610,(512) 463-0126,josé.menéndez@senate.texas.gov,https://senate.texas.gov/member.php?d=26,José,,Menéndez,Menéndez,89
House,16,Representative,Will Metcalf,R,1N.12,(512) 463-0726,will.metcalf@house.texas.gov,https://house.texas.gov/members/16,Will,,Metcalf,Metcalf,89
House,108,Representative,Morgan Meyer,R,GN.8,(512) 463-0367,morgan.meyer@house.texas.gov,https://house.texas.gov/members/108,Morgan,,Meyer,Meyer,89
House,105,Representative,Terry Meza,D,E1.204,(512) 463-0641,terry.meza@house.texas.gov,https://house.texas.gov/members/105,Terry,,Meza,Meza,89
Senate,11,Senator,Mayes Middleton,R,E1.706,(512) 463-0111,mayes.middleton@senate.texas.gov,https://senate.texas.gov/member.php?d=11,Mayes,,Middleton,Middleton,89
Senate,13,Senator,Borris L. Miles,D,3E.12,(512) 463-0113,borris.miles@senate.texas.gov,https://senate.texas.gov/member.php?d=13,Borris,L. ,Miles,Miles,89
House,2,Representative,Brent A. Money,R,E2.414,(512) 463-0880,brent.money@house.texas.gov,https://house.texas.gov/members/2,Brent,A. ,Money,Money,89
House,78,Representative,Joe Moody,D,GW.18,(512) 463-0728,joe.moody@house.texas.gov,https://house.texas.gov/members/78,Joe,,Moody,Moody,89
House,145,Representative,Christina Morales,D,GN.10,(512) 463-0732,christina.morales@house.texas.gov,https://house.texas.gov/members/145,Christina,,Morales,"Morales, Christina",89
House,74,Representative,Eddie Morales,D,E2.406,(512) 463-0566,eddie.morales@house.texas.gov,https://house.texas.gov/members/74,Eddie,,Morales,"Morales, Eddie",89
House,148,Representative,Penny Morales Shaw,D,E2.710,(512) 463-0620,penny.moralesshaw@house.texas.gov,https://house.texas.gov/members/148,Penny,,Morales Shaw,Morales Shaw,89
House,26,Representative,Matt Morgan,R,E2. 802,(512) 463-0710,matt.morgan@house.texas.gov,https://house.texas.gov/members/26,Matt,,Morgan,Morgan,89
House,36,Representative,Sergio Muñoz,D,1N.8,(512) 463-0704,sergio.muñoz@house.texas.gov,https://house.texas.gov/members/36,Sergio,,Muñoz,Muñoz,89
Senate,3,Senator,Robert Nichols,R,E1.704,(512) 463-0103,robert.nichols@senate.texas.gov,https://senate.texas.gov/member.php?d=3,Robert,,Nichols,Nichols,89
House,89,Representative,Candy Noble,R,E1.508,(512) 463-0186,candy.noble@house.texas.gov,https://house.texas.gov/members/89,Candy,,Noble,Noble,89
House,60,Representative,Mike Olcott,R,E2.704,(512) 463-0656,mike.olcott@house.texas.gov,https://house.texas.gov/members/60,Mike,,Olcott,Olcott,89
House,130,Representative,Tom Oliverson,R,E2.408,(512) 463-0661,tom.oliverson@house.texas.gov,https://house.texas.gov/members/130,Tom,,Oliverson,Oliverson,89
House,79,Representative,Claudia Ordaz,D,E2.706,(512) 463-0622,claudia.ordaz@house.texas.gov,https://house.texas.gov/members/79,Claudia,,Ordaz,Ordaz,89
House,13,Representative,Angelia Orr,R,E1.220,(512) 463-0600,angelia.orr@house.texas.gov,https://house.texas.gov/members/13,Angelia,,Orr,Orr,89
Senate,12,Senator,Tan Parker,R,E1.608,(512) 463-0112,tan.parker@senate.texas.gov,https://senate.texas.gov/member.php?d=12,Tan,,Parker,Parker,89
House,106,Representative,Jared Patterson,R,E2.608,(512) 463-0694,jared.patterson@house.texas.gov,https://house.texas.gov/members/106,Jared,,Patterson,Patterson,89
House,129,Representative,Dennis Paul,R,GS.2,(512) 463-0734,dennis.paul@house.texas.gov,https://house.texas.gov/members/129,Dennis,,Paul,Paul,89
Senate,8,Senator,Angela Paxton,R,3E.10,(512) 463-0108,angela.paxton@senate.texas.gov,https://senate.texas.gov/member.php?d=8,Angela,,Paxton,Paxton,89
House,144,Representative,Mary Ann Perez,D,1N.7,(512) 463-0460,maryann.perez@house.texas.gov,https://house.texas.gov/members/144,Mary Ann,,Perez,"Perez, Mary Ann",89
House,77,Representative,Vincent Perez,D,E2.312,(512) 463-0638,vincent.perez@house.texas.gov,https://house.texas.gov/members/77,Vincent,,Perez,"Perez, Vincent",89
Senate,28,Senator,Charles Perry,R,E1.806,(512) 463-0128,charles.perry@senate.texas.gov,https://senate.texas.gov/member.php?d=28,Charles,,Perry,Perry,89
House,21,Representative,Dade Phelan,R,GW.8,(512) 463-0706,dade.phelan@house.texas.gov,https://house.texas.gov/members/21,Dade,,Phelan,Phelan,89
House,33,Representative,Katrina Pierson,R,E2.714,(512) 463-0484,katrina.pierson@house.texas.gov,https://house.texas.gov/members/33,Katrina,,Pierson,Pierson,89
House,70,Representative,Mihaela E. Plesa,D,E2.210,(512) 463-0356,mihaela.plesa@house.texas.gov,https://house.texas.gov/members/70,Mihaela,E. ,Plesa,Plesa,89
House,102,Representative,Ana-Maria Rodríguez Ramos,D,E2.204,(512) 463-0454,ana-maria.ramos@house.texas.gov,https://house.texas.gov/members/102,Ana-Maria,Rodríguez ,Ramos,Rodríguez Ramos,89
House,42,Representative,Richard Pena Raymond,D,1W.2,(512) 463-0558,richard.raymond@house.texas.gov,https://house.texas.gov/members/42,Richard,Pena ,Raymond,Raymond,89
House,27,Representative,Ron Reynolds,D,4N.7,(512) 463-0494,ron.reynolds@house.texas.gov,https://house.texas.gov/members/27,Ron,,Reynolds,Reynolds,89
House,61,Representative,Keresa Richardson,R,E2.416,(512) 463-0738,keresa.richardson@house.texas.gov,https://house.texas.gov/members/61,Keresa,,Richardson,Richardson,89
House,90,Representative,Ramon Romero,D,4S.6,(512) 463-0740,ramon.romero@house.texas.gov,https://house.texas.gov/members/90,Ramon,,Romero,Romero,89
House,110,Representative,Toni Rose,D,4N.5,(512) 463-0664,toni.rose@house.texas.gov,https://house.texas.gov/members/110,Toni,,Rose,Rose,89
House,135,Representative,Jon E. Rosenthal,D,E2.308,(512) 463-0722,jon.rosenthal@house.texas.gov,https://house.texas.gov/members/135,Jon,E. ,Rosenthal,Rosenthal,89
House,93,Representative,Nate Schatzline,R,E1.410,(512) 463-0562,nate.schatzline@house.texas.gov,https://house.texas.gov/members/93,Nate,,Schatzline,Schatzline,89
House,132,Representative,Mike Schofield,R,E2.418,(512) 463-0528,mike.schofield@house.texas.gov,https://house.texas.gov/members/132,Mike,,Schofield,Schofield,89
House,44,Representative,Alan Schoolcraft,R,E1.308,(512) 463-0602,alan.schoolcraft@house.texas.gov,https://house.texas.gov/members/44,Alan,,Schoolcraft,Schoolcraft,89
Senate,5,Senator,Charles Schwertner,R,3S.5,(512) 463-0105,charles.schwertner@senate.texas.gov,https://senate.texas.gov/member.php?d=5,Charles,,Schwertner,Schwertner,89
House,66,Representative,Matt Shaheen,R,GS.6,(512) 463-0594,matt.shaheen@house.texas.gov,https://house.texas.gov/members/66,Matt,,Shaheen,Shaheen,89
House,11,Representative,Joanne Shofner,R,E1.208,(512) 463-0592,joanne.shofner@house.texas.gov,https://house.texas.gov/members/11,Joanne,,Shofner,Shofner,89
House,146,Representative,Lauren A. Simmons,D,E2.314,(512) 463-0518,lauren.simmons@house.texas.gov,https://house.texas.gov/members/146,Lauren,A. ,Simmons,Simmons,89
House,59,Representative,Shelby Slawson,R,E2.506,(512) 463-0628,shelby.slawson@house.texas.gov,https://house.texas.gov/members/59,Shelby,,Slawson,Slawson,89
House,86,Representative,John T. Smithee,R,1W.10,(512) 463-0702,john.smithee@house.texas.gov,https://house.texas.gov/members/86,John,T. ,Smithee,Smithee,89
Senate,31,Senator,Kevin Sparks,R,E1.708,(512) 463-0131,kevin.sparks@senate.texas.gov,https://senate.texas.gov/member.php?d=31,Kevin,,Sparks,Sparks,89
House,68,Representative,David Spiller,R,E1.302,(512) 463-0526,david.spiller@house.texas.gov,https://house.texas.gov/members/68,David,,Spiller,Spiller,89
House,150,Representative,Valoree Swanson,R,E1.408,(512) 463-0572,valoree.swanson@house.texas.gov,https://house.texas.gov/members/150,Valoree,,Swanson,Swanson,89
House,50,Representative,James Talarico,D,E2.902,(512) 463-0821,james.talarico@house.texas.gov,https://house.texas.gov/members/50,James,,Talarico,Talarico,89
House,84,Representative,Carl Tepper,R,E1.316,(512) 463-0676,carl.tepper@house.texas.gov,https://house.texas.gov/members/84,Carl,,Tepper,Tepper,89
House,141,Representative,Senfronia Thompson,D,3S.6,(512) 463-0720,senfronia.thompson@house.texas.gov,https://house.texas.gov/members/141,Senfronia,,Thompson,Thompson,89
House,94,Representative,Tony Tinderholt,R,E1.420,(512) 463-0624,tony.tinderholt@house.texas.gov,https://house.texas.gov/members/94,Tony,,Tinderholt,Tinderholt,89
House,15,Representative,Steve Toth,R,E1.404,(512) 463-0797,steve.toth@house.texas.gov,https://house.texas.gov/members/15,Steve,,Toth,Toth,89
House,19,Representative,Ellen Troxclair,R,E1.322,(512) 463-0490,ellen.troxclair@house.texas.gov,https://house.texas.gov/members/19,Ellen,,Troxclair,Troxclair,89
House,101,Representative,Chris Turner,D,1N.5,(512) 463-0574,chris.turner@house.texas.gov,https://house.texas.gov/members/101,Chris,,Turner,Turner,89
