id,race_name,candidate_id,candidate_name,candidate_party,candidate_votes,candidate_percentage
2117,STATE REPRESENTATIVE DISTRICT 17,333103,STAN GERDES (I),REP,53531,66.15
2117,STATE REPRESENTATIVE DISTRICT 17,338533,DESIREE VENABLE,DEM,27389,33.85
2224,STATE REPRESENTATIVE DISTRICT 18,330213,JANIS HOLT,REP,69326,86.58
2224,STATE REPRESENTATIVE DISTRICT 18,340872,SETH STEELE,LIB,10749,13.42
2106,STATE REPRESENTATIVE DISTRICT 19,338214,DWAIN HANDLEY,DEM,31486,25.52
2106,STATE REPRESENTATIVE DISTRICT 19,340745,KODI SAWIN,IND,4478,3.63
2106,STATE REPRESENTATIVE DISTRICT 19,330621,ELLEN TROXCLAIR (I),REP,87416,70.85
2150,STATE REPRESENTATIVE DISTRICT 20,335815,TERRY M. WILSON (I),REP,64086,59.76
2150,STATE REPRESENTATIVE DISTRICT 20,338744,STEPHEN M. WYMAN,DEM,43148,40.24
2167,STATE REPRESENTATIVE DISTRICT 21,339713,DADE PHELAN (I),REP,66398,100.0
2144,STATE REPRESENTATIVE DISTRICT 22,336748,CHRISTIAN MANUEL (I),DEM,34336,100.0
2102,STATE REPRESENTATIVE DISTRICT 23,332660,TERRI LEO WILSON (I),REP,53841,66.87
2102,STATE REPRESENTATIVE DISTRICT 23,339008,DEV MERUGUMALA,DEM,26680,33.13
2103,STATE REPRESENTATIVE DISTRICT 24,4511,GREG BONNEN (I),REP,78761,100.0
2195,STATE REPRESENTATIVE DISTRICT 25,338774,J. DAGGETT,DEM,29999,38.96
2195,STATE REPRESENTATIVE DISTRICT 25,3459,CODY THANE VASUT (I),REP,47002,61.04
2101,STATE REPRESENTATIVE DISTRICT 26,337925,DANIEL LEE,DEM,33505,40.83
2101,STATE REPRESENTATIVE DISTRICT 26,336363,MATT MORGAN,REP,48561,59.17
2225,STATE REPRESENTATIVE DISTRICT 27,338440,IBIFRISOLAM MAX-ALALIBO,REP,24908,30.19
2225,STATE REPRESENTATIVE DISTRICT 27,337951,RONALD REYNOLDS (I),DEM,57594,69.81
2132,STATE REPRESENTATIVE DISTRICT 28,336198,GARY GATES (I),REP,56890,60.55
2132,STATE REPRESENTATIVE DISTRICT 28,337966,MARTY ROCHA,DEM,37058,39.45
2228,STATE REPRESENTATIVE DISTRICT 29,336581,JEFFREY BARRY,REP,49655,61.52
2228,STATE REPRESENTATIVE DISTRICT 29,335757,ADRIENNE BELL,DEM,31060,38.48
2211,STATE REPRESENTATIVE DISTRICT 30,339114,STEPHANIE R. BASSHAM,DEM,17120,23.04
2211,STATE REPRESENTATIVE DISTRICT 30,337657,AJ LOUDERBACK,REP,57180,76.96
2158,STATE REPRESENTATIVE DISTRICT 31,330493,RYAN GUILLEN (I),REP,50653,100.0
2139,STATE REPRESENTATIVE DISTRICT 32,1235,TODD HUNTER (I),REP,54091,68.69
2139,STATE REPRESENTATIVE DISTRICT 32,337520,CATHY MCAULIFFE,DEM,24656,31.31
2107,STATE REPRESENTATIVE DISTRICT 33,338457,KATRINA PIERSON,REP,70996,100.0
2215,STATE REPRESENTATIVE DISTRICT 34,336041,SOLOMON P. ORTIZ JR,DEM,23013,44.63
2215,STATE REPRESENTATIVE DISTRICT 34,337529,DENISE VILLALOBOS,REP,28553,55.37
2214,STATE REPRESENTATIVE DISTRICT 35,1253,OSCAR LONGORIA (I),DEM,25896,100.0
2147,STATE REPRESENTATIVE DISTRICT 36,335901,SERGIO MUÑOZ JR (I),DEM,32483,100.0
2140,STATE REPRESENTATIVE DISTRICT 37,337958,JONATHAN GRACIA,DEM,25014,44.99
2140,STATE REPRESENTATIVE DISTRICT 37,332559,JANIE LOPEZ (I),REP,30590,55.01
2088,STATE REPRESENTATIVE DISTRICT 38,337843,ERIN ELIZABETH GAMEZ (I),DEM,33944,100.0
2209,STATE REPRESENTATIVE DISTRICT 39,337329,JIMMIE GARCIA,REP,17308,39.1
2209,STATE REPRESENTATIVE DISTRICT 39,336022,"ARMANDO ""MANDO"" MARTINEZ (I)",DEM,26962,60.9
2083,STATE REPRESENTATIVE DISTRICT 40,336874,TERRY CANALES (I),DEM,34671,100.0
2192,STATE REPRESENTATIVE DISTRICT 41,336118,BOBBY GUERRA (I),DEM,30589,53.47
2192,STATE REPRESENTATIVE DISTRICT 41,338999,JOHN ROBERT GUERRA,REP,26618,46.53
2191,STATE REPRESENTATIVE DISTRICT 42,335808,RICHARD PENA RAYMOND (I),DEM,38584,100.0
2142,STATE REPRESENTATIVE DISTRICT 43,338639,MARIANA CASAREZ,DEM,21842,33.27
2142,STATE REPRESENTATIVE DISTRICT 43,332050,J.M. LOZANO (I),REP,43812,66.73
2168,STATE REPRESENTATIVE DISTRICT 44,337895,ERIC NORMAN,DEM,30780,34.88
2168,STATE REPRESENTATIVE DISTRICT 44,339607,ALAN SCHOOLCRAFT,REP,57466,65.12
2091,STATE REPRESENTATIVE DISTRICT 45,337122,TENNYSON G. MORENO,REP,40312,43.24
2091,STATE REPRESENTATIVE DISTRICT 45,1234,ERIN ZWIENER (I),DEM,52912,56.76
2187,STATE REPRESENTATIVE DISTRICT 46,336423,SHERYL COLE (I),DEM,60832,73.24
2187,STATE REPRESENTATIVE DISTRICT 46,338479,NIKKI KOSICH,REP,22223,26.76
2186,STATE REPRESENTATIVE DISTRICT 47,338117,SCOTT FIRSING,REP,39066,39.83
2186,STATE REPRESENTATIVE DISTRICT 47,336180,VIKKI GOODWIN (I),DEM,59016,60.17
2160,STATE REPRESENTATIVE DISTRICT 48,336695,DONNA HOWARD (I),DEM,72631,83.0
2160,STATE REPRESENTATIVE DISTRICT 48,339704,DANIEL JEROME MCCARTHY,LIB,14871,17.0
2152,STATE REPRESENTATIVE DISTRICT 49,336184,GINA HINOJOSA (I),DEM,80498,100.0
2131,STATE REPRESENTATIVE DISTRICT 50,336430,JAMES TALARICO (I),DEM,48289,100.0
2174,STATE REPRESENTATIVE DISTRICT 51,336420,"MARIA LUISA ""LULU"" FLORES (I)",DEM,52801,100.0
2206,STATE REPRESENTATIVE DISTRICT 52,337230,JENNIE BIRKHOLZ,DEM,48884,43.76
2206,STATE REPRESENTATIVE DISTRICT 52,336191,CAROLINE HARRIS DAVILA (I),REP,62830,56.24
2127,STATE REPRESENTATIVE DISTRICT 53,336227,JOE P. HERRERA,DEM,21058,21.17
2127,STATE REPRESENTATIVE DISTRICT 53,339705,B. W. HOLK,LIB,2230,2.24
2127,STATE REPRESENTATIVE DISTRICT 53,6341,WES VIRDELL,REP,76176,76.59
2136,STATE REPRESENTATIVE DISTRICT 54,338010,BRAD BUCKLEY (I),REP,34526,61.09
2136,STATE REPRESENTATIVE DISTRICT 54,338352,DAWN RICHARDSON,DEM,21993,38.91
2182,STATE REPRESENTATIVE DISTRICT 55,338002,HILLARY HICKLAND,REP,39455,57.41
2182,STATE REPRESENTATIVE DISTRICT 55,338559,JENNIFER ALICIA LEE,DEM,29269,42.59
2202,STATE REPRESENTATIVE DISTRICT 56,336465,PAT CURRY,REP,56195,68.59
2202,STATE REPRESENTATIVE DISTRICT 56,338587,ERIN SHANK,DEM,25733,31.41
2155,STATE REPRESENTATIVE DISTRICT 57,339699,DARREN HAMILTON,LIB,2870,3.22
2155,STATE REPRESENTATIVE DISTRICT 57,330216,RICHARD HAYES (I),REP,51865,58.27
2155,STATE REPRESENTATIVE DISTRICT 57,337941,COLLIN JOHNSON,DEM,34279,38.51
2176,STATE REPRESENTATIVE DISTRICT 58,339071,HELEN KERWIN,REP,63760,82.06
2176,STATE REPRESENTATIVE DISTRICT 58,339702,RICHARD WINDMANN,LIB,13935,17.94
2153,STATE REPRESENTATIVE DISTRICT 59,338191,HANNAH BOHM,DEM,15367,19.33
2153,STATE REPRESENTATIVE DISTRICT 59,3236,SHELBY SLAWSON (I),REP,64147,80.67
2208,STATE REPRESENTATIVE DISTRICT 60,334446,MIKE OLCOTT,REP,93326,100.0
2163,STATE REPRESENTATIVE DISTRICT 61,338681,TONY ADAMS,DEM,39632,40.38
2163,STATE REPRESENTATIVE DISTRICT 61,336320,KERESA RICHARDSON,REP,58513,59.62
2183,STATE REPRESENTATIVE DISTRICT 62,339033,TIFFANY DRAKE,DEM,19240,22.29
2183,STATE REPRESENTATIVE DISTRICT 62,9342,SHELLEY LUTHER,REP,67062,77.71
2143,STATE REPRESENTATIVE DISTRICT 63,1306,MICHELLE BECKLEY,DEM,37326,44.34
2143,STATE REPRESENTATIVE DISTRICT 63,330244,BEN BUMGARNER (I),REP,46861,55.66
2222,STATE REPRESENTATIVE DISTRICT 64,332212,ANGELA BREWER,DEM,34786,36.88
2222,STATE REPRESENTATIVE DISTRICT 64,9341,ANDY HOPPER,REP,59542,63.12
2165,STATE REPRESENTATIVE DISTRICT 65,338483,DETRICK DEBURR,DEM,39686,39.7
2165,STATE REPRESENTATIVE DISTRICT 65,336099,MITCH LITTLE,REP,60284,60.3
2113,STATE REPRESENTATIVE DISTRICT 66,339335,DAVID W. CARSTENS,DEM,37098,38.89
2113,STATE REPRESENTATIVE DISTRICT 66,337190,MATT SHAHEEN (I),REP,58294,61.11
2129,STATE REPRESENTATIVE DISTRICT 67,338419,JEFF LEACH (I),REP,56107,60.23
2129,STATE REPRESENTATIVE DISTRICT 67,339334,MAKALA L. WASHINGTON,DEM,37051,39.77
2201,STATE REPRESENTATIVE DISTRICT 68,9500,DAVID SPILLER (I),REP,79554,87.17
2201,STATE REPRESENTATIVE DISTRICT 68,337973,STACEY SWANN,DEM,11705,12.83
2123,STATE REPRESENTATIVE DISTRICT 69,338565,WALTER COPPAGE,DEM,14518,21.32
2123,STATE REPRESENTATIVE DISTRICT 69,4764,JAMES B FRANK (I),REP,53583,78.68
2216,STATE REPRESENTATIVE DISTRICT 70,336153,STEVE KINARD,REP,34933,47.78
2216,STATE REPRESENTATIVE DISTRICT 70,337157,MIHAELA ELIZABETH PLESA (I),DEM,38183,52.22
2223,STATE REPRESENTATIVE DISTRICT 71,331956,LINDA GOOLSBEE,DEM,13678,18.97
2223,STATE REPRESENTATIVE DISTRICT 71,332942,STAN LAMBERT (I),REP,58413,81.03
2086,STATE REPRESENTATIVE DISTRICT 72,1333,DREW DARBY (I),REP,57821,100.0
2112,STATE REPRESENTATIVE DISTRICT 73,338205,SALLY DUVAL,DEM,36686,28.52
2112,STATE REPRESENTATIVE DISTRICT 73,3392,CARRIE ISAAC (I),REP,91924,71.47
2170,STATE REPRESENTATIVE DISTRICT 74,6903,ROBERT GARZA,REP,26378,48.33
2170,STATE REPRESENTATIVE DISTRICT 74,335992,EDDIE MORALES JR (I),DEM,28203,51.67
2210,STATE REPRESENTATIVE DISTRICT 75,335787,MARY E. GONZALEZ (I),DEM,35033,100.0
2100,STATE REPRESENTATIVE DISTRICT 76,337918,SULEMAN LALANI (I),DEM,39770,56.5
2100,STATE REPRESENTATIVE DISTRICT 76,336200,LEA C.S. SIMMONS,REP,30615,43.5
2185,STATE REPRESENTATIVE DISTRICT 77,4287,"VINCENT ""VINCE"" PEREZ",DEM,35427,100.0
2104,STATE REPRESENTATIVE DISTRICT 78,335698,JOE MOODY (I),DEM,45474,100.0
2220,STATE REPRESENTATIVE DISTRICT 79,4290,CLAUDIA ORDAZ (I),DEM,41652,100.0
2166,STATE REPRESENTATIVE DISTRICT 80,337237,CECILIA CASTELLANO,DEM,21231,40.51
2166,STATE REPRESENTATIVE DISTRICT 80,336597,DON MCLAUGHLIN JR,REP,31182,59.49
2218,STATE REPRESENTATIVE DISTRICT 81,1248,BROOKS LANDGRAF (I),REP,41508,100.0
2134,STATE REPRESENTATIVE DISTRICT 82,3458,TOM CRADDICK (I),REP,50546,82.73
2134,STATE REPRESENTATIVE DISTRICT 82,338561,STEVEN SCHAFERSMAN,DEM,10555,17.27
2200,STATE REPRESENTATIVE DISTRICT 83,1319,DUSTIN BURROWS (I),REP,69899,100.0
2173,STATE REPRESENTATIVE DISTRICT 84,338984,NOAH LOPEZ,DEM,20733,35.9
2173,STATE REPRESENTATIVE DISTRICT 84,338079,CARL H. TEPPER (I),REP,37021,64.1
2120,STATE REPRESENTATIVE DISTRICT 85,333116,STAN KITZMAN (I),REP,75040,100.0
2110,STATE REPRESENTATIVE DISTRICT 86,1298,JOHN SMITHEE (I),REP,68942,100.0
2226,STATE REPRESENTATIVE DISTRICT 87,338212,CAROLINE FAIRLY,REP,42317,79.22
2226,STATE REPRESENTATIVE DISTRICT 87,5609,TIMOTHY W. GASSAWAY,DEM,11048,20.68
2226,STATE REPRESENTATIVE DISTRICT 87,340773,JEFFREY MCGUNEGLE,W,55,0.1
2204,STATE REPRESENTATIVE DISTRICT 88,4558,KEN KING (I),REP,54093,100.0
2231,STATE REPRESENTATIVE DISTRICT 89,339337,DARREL EVANS,DEM,36292,39.37
2231,STATE REPRESENTATIVE DISTRICT 89,336125,CANDY NOBLE (I),REP,55900,60.63
2217,STATE REPRESENTATIVE DISTRICT 90,335903,RAMON ROMERO JR (I),DEM,35674,100.0
2105,STATE REPRESENTATIVE DISTRICT 91,336777,DAVID LOWE,REP,53970,100.0
2199,STATE REPRESENTATIVE DISTRICT 92,335932,SALMAN BHOJANI (I),DEM,35274,100.0
2116,STATE REPRESENTATIVE DISTRICT 93,335919,PERLA BOJORQUEZ,DEM,34871,39.45
2116,STATE REPRESENTATIVE DISTRICT 93,337101,NATE SCHATZLINE (I),REP,53532,60.55
2108,STATE REPRESENTATIVE DISTRICT 94,336778,TONY TINDERHOLT (I),REP,43785,55.62
2108,STATE REPRESENTATIVE DISTRICT 94,335909,DENISE WILKERSON,DEM,34937,44.38
2111,STATE REPRESENTATIVE DISTRICT 95,335931,NICOLE COLLIER (I),DEM,43827,100.0
2221,STATE REPRESENTATIVE DISTRICT 96,336776,DAVID COOK (I),REP,48814,57.37
2221,STATE REPRESENTATIVE DISTRICT 96,330550,EBONY M. TURNER,DEM,36276,42.63
2114,STATE REPRESENTATIVE DISTRICT 97,338088,JOHN MCQUEENEY,REP,51432,58.07
2114,STATE REPRESENTATIVE DISTRICT 97,337989,CARLOS WALKER,DEM,37132,41.93
2157,STATE REPRESENTATIVE DISTRICT 98,336730,GIOVANNI CAPRIGLIONE (I),REP,64833,65.7
2157,STATE REPRESENTATIVE DISTRICT 98,337890,SCOTT BRYAN WHITE,DEM,33845,34.3
2099,STATE REPRESENTATIVE DISTRICT 99,335916,MIMI COFFEY,DEM,28233,37.18
2099,STATE REPRESENTATIVE DISTRICT 99,336738,CHARLIE GEREN (I),REP,47708,62.82
2141,STATE REPRESENTATIVE DISTRICT 100,335858,VENTON JONES (I),DEM,34119,100.0
2089,STATE REPRESENTATIVE DISTRICT 101,339499,CLINT BURGESS,REP,21781,35.06
2089,STATE REPRESENTATIVE DISTRICT 101,335925,CHRIS TURNER (I),DEM,40337,64.94
2193,STATE REPRESENTATIVE DISTRICT 102,339045,ANA-MARIA RAMOS (I),DEM,35788,100.0
2097,STATE REPRESENTATIVE DISTRICT 103,335854,RAFAEL ANCHIA (I),DEM,40330,100.0
2156,STATE REPRESENTATIVE DISTRICT 104,337456,JESSICA GONZALEZ (I),DEM,33295,100.0
2133,STATE REPRESENTATIVE DISTRICT 105,338801,ROSE CANNADAY,REP,18928,45.31
2133,STATE REPRESENTATIVE DISTRICT 105,339002,TERRY MEZA (I),DEM,22850,54.69
2212,STATE REPRESENTATIVE DISTRICT 106,338859,HAVA JOHNSTON,DEM,39941,39.42
2212,STATE REPRESENTATIVE DISTRICT 106,1276,JARED PATTERSON (I),REP,61381,60.58
2146,STATE REPRESENTATIVE DISTRICT 107,339047,LINDA GARCIA,DEM,29546,100.0
2084,STATE REPRESENTATIVE DISTRICT 108,335965,ELIZABETH GINSBERG,DEM,44307,42.39
2084,STATE REPRESENTATIVE DISTRICT 108,338116,MORGAN MEYER (I),REP,60227,57.61
2096,STATE REPRESENTATIVE DISTRICT 109,335870,AICHA DAVIS,DEM,56138,100.0
2219,STATE REPRESENTATIVE DISTRICT 110,337501,TONI ROSE (I),DEM,30618,100.0
2234,STATE REPRESENTATIVE DISTRICT 111,336098,YVONNE DAVIS (I),DEM,53039,100.0
2194,STATE REPRESENTATIVE DISTRICT 112,335860,AVERIE BISHOP,DEM,40645,46.13
2194,STATE REPRESENTATIVE DISTRICT 112,336233,ANGIE CHEN BUTTON (I),REP,47456,53.87
2115,STATE REPRESENTATIVE DISTRICT 113,335869,RHETTA ANDREWS BOWERS (I),DEM,33547,56.59
2115,STATE REPRESENTATIVE DISTRICT 113,338846,STEPHEN STANLEY,REP,25732,43.41
2188,STATE REPRESENTATIVE DISTRICT 114,335876,JOHN BRYANT (I),DEM,43554,62.76
2188,STATE REPRESENTATIVE DISTRICT 114,339579,AIMEE RAMSEY,REP,25839,37.24
2233,STATE REPRESENTATIVE DISTRICT 115,336054,CASSANDRA HERNANDEZ,DEM,37692,54.31
2233,STATE REPRESENTATIVE DISTRICT 115,338109,JOHN JUN,REP,31709,45.69
2213,STATE REPRESENTATIVE DISTRICT 116,339181,DARRYL W CRAIN,REP,19596,34.0
2213,STATE REPRESENTATIVE DISTRICT 116,335981,TREY MARTINEZ FISCHER (I),DEM,38044,66.0
2085,STATE REPRESENTATIVE DISTRICT 117,1330,PHILIP CORTEZ (I),DEM,40066,57.99
2085,STATE REPRESENTATIVE DISTRICT 117,339266,BEN MOSTYN,REP,29021,42.01
2230,STATE REPRESENTATIVE DISTRICT 118,335970,KRISTIAN CARRANZA,DEM,36624,48.27
2230,STATE REPRESENTATIVE DISTRICT 118,337507,JOHN LUJAN III (I),REP,39246,51.73
2175,STATE REPRESENTATIVE DISTRICT 119,336704,"ELIZABETH  ""LIZ"" CAMPOS (I)",DEM,38160,63.68
2175,STATE REPRESENTATIVE DISTRICT 119,337615,BRANDON J. GRABLE,REP,21763,36.32
2162,STATE REPRESENTATIVE DISTRICT 120,335973,BARBARA GERVIN-HAWKINS (I),DEM,38208,100.0
2109,STATE REPRESENTATIVE DISTRICT 121,337362,MARC LAHOOD,REP,51013,52.53
2109,STATE REPRESENTATIVE DISTRICT 121,338844,LAUREL JORDAN SWIFT,DEM,46104,47.47
2159,STATE REPRESENTATIVE DISTRICT 122,336724,MARK DORAZIO (I),REP,64018,58.09
2159,STATE REPRESENTATIVE DISTRICT 122,338757,KEVIN GEARY,DEM,46180,41.91
2130,STATE REPRESENTATIVE DISTRICT 123,338004,DIEGO BERNAL (I),DEM,44043,100.0
2189,STATE REPRESENTATIVE DISTRICT 124,337263,JOSEY GARCIA (I),DEM,30345,61.52
2189,STATE REPRESENTATIVE DISTRICT 124,339273,SYLVIA SOTO,REP,18981,38.48
2135,STATE REPRESENTATIVE DISTRICT 125,337386,RAY LOPEZ (I),DEM,48251,100.0
2232,STATE REPRESENTATIVE DISTRICT 126,337010,E. SAM HARLESS (I),REP,59749,98.98
2232,STATE REPRESENTATIVE DISTRICT 126,340824,SARAH SMITH,W,616,1.02
2172,STATE REPRESENTATIVE DISTRICT 127,336950,CHARLES CUNNINGHAM (I),REP,55048,60.51
2172,STATE REPRESENTATIVE DISTRICT 127,338477,JOHN LEHR,DEM,35932,39.49
2196,STATE REPRESENTATIVE DISTRICT 128,1321,BRISCOE CAIN (I),REP,45372,68.24
2196,STATE REPRESENTATIVE DISTRICT 128,339023,CHUCK CREWS,DEM,19181,28.85
2196,STATE REPRESENTATIVE DISTRICT 128,339643,KEVIN J. HAGAN,LIB,1932,2.91
2151,STATE REPRESENTATIVE DISTRICT 129,337257,DENNIS PAUL (I),REP,52419,60.83
2151,STATE REPRESENTATIVE DISTRICT 129,339005,DOUG PETERSON,DEM,33758,39.17
2148,STATE REPRESENTATIVE DISTRICT 130,1271,TOM OLIVERSON (I),REP,63270,68.82
2148,STATE REPRESENTATIVE DISTRICT 130,339012,BRETT ROBINSON,DEM,28671,31.18
2205,STATE REPRESENTATIVE DISTRICT 131,1299,ALMA A. ALLEN (I),DEM,36948,100.0
2154,STATE REPRESENTATIVE DISTRICT 132,2836,MIKE SCHOFIELD (I),REP,53928,58.76
2154,STATE REPRESENTATIVE DISTRICT 132,336823,CHASE WEST,DEM,37846,41.24
2197,STATE REPRESENTATIVE DISTRICT 133,338098,MANO DEAYALA (I),REP,54283,100.0
2122,STATE REPRESENTATIVE DISTRICT 134,339087,AUDREY DOUGLAS,REP,38480,38.67
2122,STATE REPRESENTATIVE DISTRICT 134,2582,ANN JOHNSON (I),DEM,61037,61.33
2124,STATE REPRESENTATIVE DISTRICT 135,1290,JON E. ROSENTHAL (I),DEM,43114,100.0
